App,Category,Rating,Reviews,Size,Installs,Type,Price,Rating Roundoff,Genres,Last Updated,Current Ver,Android Ver,Rating Roundoff
Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55,,"5,000+",Free,0.0,3,Art & Design,"June 6, 2018",NaN,4.2 and up,3
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,,"100,000+",Free,0.0,3,Auto & Vehicles,"April 27, 2018",1.4,4.0.3 and up,3
Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,,"1,000,000+",Free,0.0,3,Books & Reference,"April 27, 2018",2.2.5,4.1 and up,3
Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,,"100,000+",Free,0.0,3,Books & Reference,"August 20, 2016",3.05,4.0.3 and up,3
Plugin:AOT v5.0,BUSINESS,3.1,4034,,"100,000+",Free,0.0,3,Business,"September 11, 2015",3.0.1.11 (Build 311),2.2 and up,3
comico Popular Original Cartoon Updated Everyday Comico,COMICS,3.2,93965,,"5,000,000+",Free,0.0,3,Comics,"July 3, 2018",6.3.0,4.0.3 and up,3
Daily Manga - Comic & Webtoon,COMICS,3.2,1446,,"100,000+",Free,0.0,3,Comics,"May 18, 2018",1.0,4.0.3 and up,3
Manga AZ - Manga Comic Reader,COMICS,3.3,125,,"5,000+",Free,0.0,3,Comics,"July 24, 2018",1.0.4,4.0.3 and up,3
eharmony - Online Dating App,DATING,3.1,31320,,"5,000,000+",Free,0.0,3,Dating,"July 30, 2018",6.6.5,4.1 and up,3
Free Dating Hook Up Messenger,DATING,3.3,1157,,"100,000+",Free,0.0,3,Dating,"January 27, 2017",5.0.1,4.2 and up,3
BeWild Free Dating & Chat App,DATING,3.4,1999,,"100,000+",Free,0.0,3,Dating,"February 3, 2017",1.6.5,4.2 and up,3
OurTime Dating for Singles 50+,DATING,3.4,2519,,"100,000+",Free,0.0,3,Dating,"July 25, 2018",1.9.7,4.4 and up,3
FarmersOnly Dating,DATING,3.0,1146,,"100,000+",Free,0.0,3,Dating,"February 25, 2016",2.2,4.0 and up,3
InterracialCupid - Interracial Dating App,DATING,3.4,212,,"50,000+",Free,0.0,3,Dating,"June 13, 2018",2.3.0.1781,5.0 and up,3
Adult Dirty Emojis,DATING,2.8,80,,"10,000+",Free,0.0,3,Dating,"November 6, 2017",1.0,4.0.3 and up,3
Adult Dating - AdultFinder,DATING,3.3,1601,,"500,000+",Free,0.0,3,Dating,"February 1, 2017",1.5,4.1 and up,3
The League,DATING,3.0,837,,"100,000+",Free,0.0,3,Dating,"July 16, 2018",1.15.0,4.4 and up,3
Heart mill,DATING,3.3,4631,,"100,000+",Free,0.0,3,Dating,"August 4, 2018",5.2.14,5.0 and up,3
SilverSingles: The 50+ Dating App,DATING,3.3,149,,"10,000+",Free,0.0,3,Dating,"July 31, 2018",4.8.5,4.0.3 and up,3
"iDates - Chats, Flirts, Dating, Love & Relations",DATING,3.4,13890,,"500,000+",Free,0.0,3,Dating,"June 19, 2018",4.9.2 (Oasis),4.2 and up,3
Adult Dirty Emojis,DATING,2.8,80,,"10,000+",Free,0.0,3,Dating,"November 6, 2017",1.0,4.0.3 and up,3
MouseMingle,DATING,2.7,3,,100+,Free,0.0,3,Dating,"July 17, 2018",1.0.0,4.4 and up,3
Random Chat App with Strangers,DATING,3.0,2,,100+,Free,0.0,3,Dating,"July 17, 2018",2.5,4.0.3 and up,3
UK Girls Mobile Numbers,DATING,3.0,1,,500+,Free,0.0,3,Dating,"July 19, 2018",1.0,4.0.3 and up,3
MouseMingle,DATING,2.7,3,,100+,Free,0.0,3,Dating,"July 17, 2018",1.0.0,4.4 and up,3
Adult Dirty Emojis,DATING,2.8,80,,"10,000+",Free,0.0,3,Dating,"November 6, 2017",1.0,4.0.3 and up,3
Teenage Chat & Dating,DATING,3.4,5,,500+,Free,0.0,3,Dating,"July 9, 2018",1.2,4.1 and up,3
Sugar Daddies Dating App,DATING,2.9,53,,"10,000+",Free,0.0,3,Dating,"July 10, 2018",4.1,4.1 and up,3
Free Dating Hook Up Messenger,DATING,3.3,1157,,"100,000+",Free,0.0,3,Dating,"January 27, 2017",5.0.1,4.2 and up,3
Digital TV,ENTERTAINMENT,3.1,5241,,"5,000,000+",Free,0.0,3,Entertainment,"June 6, 2018",Varies with device,6.0 and up,3
Spectrum TV,ENTERTAINMENT,3.4,46618,,"5,000,000+",Free,0.0,3,Entertainment,"July 19, 2018",Varies with device,Varies with device,3
BBC Media Player,ENTERTAINMENT,3.4,87384,,"10,000,000+",Free,0.0,3,Entertainment,"September 14, 2016",Varies with device,Varies with device,3
Acorn TV: World-class TV from Britain and Beyond,ENTERTAINMENT,3.0,493,,"50,000+",Free,0.0,3,Entertainment,"June 15, 2018",2.0.0,4.4 and up,3
CASHIER,FINANCE,3.3,335738,,"10,000,000+",Free,0.0,3,Finance,"May 3, 2018",Varies with device,Varies with device,3
Rabo Banking,FINANCE,3.4,31906,,"1,000,000+",Free,0.0,3,Finance,"July 19, 2018",5.16.0,4.0 and up,3
McDonald's - McDonald's Japan,FOOD_AND_DRINK,3.4,109784,,"10,000,000+",Free,0.0,3,Food & Drink,"August 3, 2018",4.0.30,4.0.3 and up,3
Pyaterochka,FOOD_AND_DRINK,3.1,8412,,"1,000,000+",Free,0.0,3,Food & Drink,"July 19, 2018",Varies with device,4.4 and up,3
Little Caesars,FOOD_AND_DRINK,3.3,1726,,"500,000+",Free,0.0,3,Food & Drink,"July 19, 2018",4.26,4.4 and up,3
Wendy’s – Food and Offers,FOOD_AND_DRINK,3.4,6507,,"1,000,000+",Free,0.0,3,Food & Drink,"April 12, 2018",5.7.0,4.4 and up,3
LG Health,HEALTH_AND_FITNESS,3.3,20098,,"10,000,000+",Free,0.0,3,Health & Fitness,"May 14, 2018",5.31.75,4.4 and up,3
Free Foreclosure Real Estate Search by USHUD.com,HOUSE_AND_HOME,3.4,287,,"100,000+",Free,0.0,3,House & Home,"May 29, 2018",2.4.2,4.4 and up,3
ColorSnap® Visualizer,HOUSE_AND_HOME,3.4,3280,,"1,000,000+",Free,0.0,3,House & Home,"June 29, 2018",5.0.1,4.0.3 and up,3
eBiblio,LIBRARIES_AND_DEMO,3.4,2907,,"50,000+",Free,0.0,3,Libraries & Demo,"June 22, 2018",Varies with device,Varies with device,3
V380s,LIBRARIES_AND_DEMO,3.2,1919,,"500,000+",Free,0.0,3,Libraries & Demo,"July 11, 2018",5.9.1,4.1 and up,3
EyeCloud,LIBRARIES_AND_DEMO,3.1,1267,,"100,000+",Free,0.0,3,Libraries & Demo,"August 2, 2018",5.1.2,4.4 and up,3
Entel,LIFESTYLE,3.2,16168,,"1,000,000+",Free,0.0,3,Lifestyle,"July 26, 2018",2.2.9,4.0.3 and up,3
Telstra,LIFESTYLE,3.0,4260,,"5,000,000+",Free,0.0,3,Lifestyle,"August 8, 2017",6.1,2.3.3 and up,3
Family convenience store FamilyMart,LIFESTYLE,3.3,9663,,"1,000,000+",Free,0.0,3,Lifestyle,"July 16, 2018",Version:6.97,4.4 and up,3
Official Matsumoto Kiyoshi application,LIFESTYLE,3.2,3031,,"1,000,000+",Free,0.0,3,Lifestyle,"July 3, 2018",1.5.3,4.0 and up,3
Will it Crush?,GAME,3.1,25825,,"5,000,000+",Free,0.0,3,Simulation,"May 22, 2018",1.3.3,4.4 and up,3
Baseball Boy!,GAME,3.4,148177,,"10,000,000+",Free,0.0,3,Arcade,"July 27, 2018",1.7.2,4.1 and up,3
Anthem Anywhere,MEDICAL,2.7,2657,,"500,000+",Free,0.0,3,Medical,"July 27, 2018",8.0.226,4.4 and up,3
OptumRx,MEDICAL,3.4,1838,,"100,000+",Free,0.0,3,Medical,"July 2, 2018",2.11.0,4.0.3 and up,3
fred's Pharmacy,MEDICAL,3.0,315,,"100,000+",Free,0.0,3,Medical,"October 10, 2017",1.0.02,4.0 and up,3
