App,Category,Rating,Reviews,Size,Installs,Type,Price,Rating Roundoff,Genres,Last Updated,Current Ver,Android Ver,Rating Roundoff
Mcqueen Coloring pages,ART_AND_DESIGN,nan,61,,"100,000+",Free,0.0,,Art & Design;Action & Adventure,"March 7, 2018",1.0.0,4.1 and up,
Wrinkles and rejuvenation,BEAUTY,nan,182,,"100,000+",Free,0.0,,Beauty,"September 20, 2017",8.0,3.0 and up,
Manicure - nail design,BEAUTY,nan,119,,"50,000+",Free,0.0,,Beauty,"July 23, 2018",1.3,4.1 and up,
Skin Care and Natural Beauty,BEAUTY,nan,654,,"100,000+",Free,0.0,,Beauty,"July 17, 2018",1.15,4.1 and up,
"Secrets of beauty, youth and health",BEAUTY,nan,77,,"10,000+",Free,0.0,,Beauty,"August 8, 2017",2.0,2.3 and up,
Recipes and tips for losing weight,BEAUTY,nan,35,,"10,000+",Free,0.0,,Beauty,"December 11, 2017",2.0,3.0 and up,
"Lady adviser (beauty, health)",BEAUTY,nan,30,,"10,000+",Free,0.0,,Beauty,"January 24, 2018",3.0,3.0 and up,
Anonymous caller detection,BOOKS_AND_REFERENCE,nan,161,,"10,000+",Free,0.0,,Books & Reference,"July 13, 2018",1.0,2.3 and up,
SH-02J Owner's Manual (Android 8.0),BOOKS_AND_REFERENCE,nan,2,,"50,000+",Free,0.0,,Books & Reference,"June 15, 2018",3.0,6.0 and up,
URBANO V 02 instruction manual,BOOKS_AND_REFERENCE,nan,114,,"100,000+",Free,0.0,,Books & Reference,"August 7, 2015",1.1,5.1 and up,
Y! Mobile menu,BUSINESS,nan,9,,"100,000+",Free,0.0,,Business,"April 9, 2018",1.0.5,6.0 and up,
【Ranobbe complete free】 Novelba - Free app that you can read and write novels,COMICS,nan,1330,,"50,000+",Free,0.0,,Comics,"July 3, 2018",6.1.1,4.2 and up,
Random Video Chat,DATING,nan,3,,"1,000+",Free,0.0,,Dating,"July 15, 2018",4.20,4.0.3 and up,
Random Video Chat App With Strangers,DATING,nan,3,,"1,000+",Free,0.0,,Dating,"July 17, 2018",1.,4.0 and up,
Meet With Strangers: Video Chat & Dating,DATING,nan,2,,500+,Free,0.0,,Dating,"July 16, 2018",1.,4.0 and up,
Ost. Zombies Cast - New Music and Lyrics,DATING,nan,1,,100+,Free,0.0,,Dating,"July 20, 2018",1.0,4.0.3 and up,
Dating White Girls,DATING,nan,0,,50+,Free,0.0,,Dating,"July 20, 2018",1.0,4.0 and up,
Geeks Dating,DATING,nan,0,,50+,Free,0.0,,Dating,"July 10, 2018",1.0,4.1 and up,
Live chat - free video chat,DATING,nan,1,,500+,Free,0.0,,Dating,"July 23, 2018",3.52,4.0.3 and up,
Fishing Brain & Boating Maps Marine,DATING,nan,3,,500+,Free,0.0,,Dating,"July 23, 2018",1.0,4.0.3 and up,
CAM5678 Video Chat,DATING,nan,0,,500+,Free,0.0,,Dating,"July 13, 2018",5.5.8,4.0.3 and up,
Video chat live advices,DATING,nan,0,,100+,Free,0.0,,Dating,"July 10, 2018",1.0,3.0 and up,
chat live chat,DATING,nan,24,,"1,000+",Free,0.0,,Dating,"July 26, 2018",1.0,4.0 and up,
Pet Lovers Dating,DATING,nan,0,,10+,Free,0.0,,Dating,"July 9, 2018",1.0,4.1 and up,
Friend Find: free chat + flirt dating app,DATING,nan,23,,100+,Free,0.0,,Dating,"July 31, 2018",1.0,4.4 and up,
Latin Dating,DATING,nan,0,,10+,Free,0.0,,Dating,"July 9, 2018",1.0,4.1 and up,
Wifi Mingle,DATING,nan,0,,10+,Free,0.0,,Dating,"July 27, 2018",1.3,4.4 and up,
Soy Luna - Top Music And Lyrics,DATING,nan,1,,100+,Free,0.0,,Dating,"July 24, 2018",1.0,4.0.3 and up,
When Will You Get Married,DATING,nan,2,,10+,Free,0.0,,Dating,"July 14, 2018",1.0,4.0.3 and up,
HOW TO ASK A GIRL OUT,DATING,nan,0,,10+,Free,0.0,,Dating,"July 16, 2018",1.0,4.0.3 and up,
The DJ - Match with People,DATING,nan,0,,50+,Free,0.0,,Dating,"August 2, 2018",1.2,4.1 and up,
Toronto Dating,DATING,nan,0,,100+,Free,0.0,,Dating,"July 12, 2018",1.0,4.1 and up,
