App,Category,Rating,Reviews,Size,Installs,Type,Price,Rating Roundoff,Genres,Last Updated,Current Ver,Android Ver,Rating Roundoff
Calculator,DATING,2.6,57,,"1,000+",Paid,$6.99,3,Dating,"October 25, 2017",1.1.6,4.0 and up,3
Pinkalicious Party,FAMILY,3.0,2,,500+,Paid,$2.99,3,Educational;Creativity,"June 25, 2018",1.5.0,4.1 and up,3
MommyMeds,MEDICAL,3.2,45,,"5,000+",Paid,$3.99,3,Medical,"November 15, 2017",2.0.1,6.0 and up,3
Calcium Pro,MEDICAL,3.4,77,,"5,000+",Paid,$2.99,3,Medical,"April 18, 2017",1.6.2,4.0.3 and up,3
EMT PASS,MEDICAL,3.4,51,,"1,000+",Paid,$29.99,3,Medical,"October 22, 2014",2.0.2,4.0 and up,3
InfantRisk Center HCP,MEDICAL,2.6,41,,"1,000+",Paid,$9.99,3,Medical,"May 6, 2015",1.3.4,2.3.3 and up,3
Nursing Care Plan NANDA Tables,MEDICAL,3.0,4,,500+,Paid,$0.99,3,Medical,"May 9, 2017",1.0,2.3.3 and up,3
EMT PASS,MEDICAL,3.4,51,,"1,000+",Paid,$29.99,3,Medical,"October 22, 2014",2.0.2,4.0 and up,3
Ramfer - CNC Lathe G-code Tool,PRODUCTIVITY,3.4,5,,100+,Paid,$2.99,3,Productivity,"September 26, 2016",2,3.2 and up,3
G-NetWiFi Pro,TOOLS,3.3,6,,100+,Paid,$5.99,3,Tools,"June 18, 2018",3.2,4.0 and up,3
W-History Standalone,SOCIAL,3.2,38,,"1,000+",Paid,$0.99,3,Social,"March 9, 2018",1.935,7.0 and up,3
Ad Removal: thereisonlywe,PRODUCTIVITY,3.4,16,,100+,Paid,$6.49,3,Productivity,"May 3, 2014",1.0,2.2 and up,3
The Artificial Intelligence Project (A.I. Chat),FAMILY,3.0,76,,"5,000+",Paid,$1.99,3,Simulation,"March 29, 2018",1.2,2.3 and up,3
AI Draw | Art Filter for Selfie,PHOTOGRAPHY,3.0,20,,"1,000+",Paid,$2.99,3,Photography,"June 18, 2018",1.4.7,5.0 and up,3
I am extremely Rich,LIFESTYLE,2.9,41,,"1,000+",Paid,$379.99,3,Lifestyle,"July 1, 2018",1.0,4.0 and up,3
iScore5 AP Psych,FAMILY,2.9,10,,100+,Paid,$4.99,3,Educational,"April 25, 2017",2.0,4.0.3 and up,3
BringGo AU & NZ,MAPS_AND_NAVIGATION,2.8,440,,"10,000+",Paid,$0.99,3,Maps & Navigation,"May 10, 2018",2.5.9,2.3.3 and up,3
Ai-Ball AV Recorder,PHOTOGRAPHY,2.7,90,,"5,000+",Paid,$2.99,3,Photography,"October 19, 2017",13,2.3.3 and up,3
Analog Clock AW-7 PRO,TOOLS,3.3,40,,"1,000+",Paid,$1.99,3,Tools,"March 7, 2018",2.0,4.3 and up,3
Wolf of the BF:Commando MOBILE,GAME,3.4,32,,"1,000+",Paid,$0.99,3,Arcade,"March 23, 2017",1.00.10,4.0 and up,3
SkyTest BU/GU Lite,BUSINESS,2.9,28,,500+,Paid,$17.99,3,Business,"October 24, 2017",2.0.5,3.0 and up,3
Watch Face BW Inter,PERSONALIZATION,3.1,112,,"1,000+",Paid,$0.99,3,Personalization,"April 26, 2017",2.1.7,4.3 and up,3
California Cop Assist CA Cop,PRODUCTIVITY,3.0,5,,100+,Paid,$4.99,3,Productivity,"February 11, 2014",1.3,2.2 and up,3
Rockstars of Ooo,FAMILY,3.4,642,,"10,000+",Paid,$1.99,3,Arcade;Action & Adventure,"August 11, 2015",1.0.2,2.3.3 and up,3
Jeppesen CR Flight Computer,MAPS_AND_NAVIGATION,3.3,3,,100+,Paid,$9.99,3,Maps & Navigation,"October 5, 2016",1.0.8,4.4 and up,3
CT-REMOTE,GAME,3.3,19,,100+,Paid,$4.49,3,Action,"February 10, 2015",1.4,2.3 and up,3
Interactive CT and MRI Anatomy,MEDICAL,3.4,35,,"1,000+",Paid,$15.46,3,Medical,"May 27, 2015",2.0.3,2.2 and up,3
Online TV CZ/SK PRO,VIDEO_PLAYERS,3.1,167,,"1,000+",Paid,$0.99,3,Video Players & Editors,"June 21, 2018",3.3.2,4.0.3 and up,3
ACCDB MDB DB Manager Pro - Editor for MS Access,PRODUCTIVITY,3.1,19,,500+,Paid,$8.99,3,Productivity,"November 3, 2016",1.0.8,4.0 and up,3
LC-DB,PHOTOGRAPHY,3.0,1,,10+,Paid,$3.49,3,Photography,"October 20, 2017",1.0,4.2 and up,3
Penny Puss,TOOLS,3.0,19,,"1,000+",Paid,$4.99,3,Tools,"July 9, 2016",1.911.1944.4606,4.0 and up,3
Dungeons and Dragons DM Tools,BOOKS_AND_REFERENCE,3.1,50,,"1,000+",Paid,$1.99,3,Books & Reference,"February 22, 2017",2.0,2.3 and up,3
Interactive NPC DM Tool,FAMILY,2.8,5,,50+,Paid,$0.99,3,Role Playing,"January 31, 2015",1.0.0,2.3.3 and up,3
Officiel du SCRABBLE LAROUSSE,BOOKS_AND_REFERENCE,3.4,116,,"5,000+",Paid,$4.60,3,Books & Reference,"October 13, 2016",1.4,2.3 and up,3
RPG ブレイジング ソウルズ アクセレイト,FAMILY,3.4,159,,"1,000+",Paid,$10.99,3,Role Playing,"April 26, 2018",2.12,2.3 and up,3
EG Classroom Decimals™,FAMILY,3.0,2,,50+,Paid,$2.99,3,Education;Education,"June 12, 2017",2.2.2,2.2 and up,3
YouCamp EU,TRAVEL_AND_LOCAL,3.4,39,,"1,000+",Paid,$2.56,3,Travel & Local,"July 20, 2013",1.3.1,2.2 and up,3
Advanced EX for HYUNDAI,TOOLS,2.7,168,,"5,000+",Paid,$4.99,3,Tools,"March 14, 2015",1.10,1.6 and up,3
Advanced EX for MITSUBISHI,TOOLS,2.9,33,,"1,000+",Paid,$4.99,3,Tools,"August 21, 2015",1.1,1.6 and up,3
Advanced EX for KIA,TOOLS,3.3,257,,"5,000+",Paid,$4.99,3,Tools,"March 14, 2015",1.4,1.6 and up,3
Advanced EX for NISSAN,TOOLS,2.9,164,,"5,000+",Paid,$4.99,3,Tools,"March 14, 2015",1.3,1.6 and up,3
Advanced EX for RENAULT,TOOLS,2.8,130,,"5,000+",Paid,$4.99,3,Tools,"March 14, 2015",1.1,1.6 and up,3
