App,Category,Rating,Reviews,Size,Installs,Type,Price,Rating Roundoff,Genres,Last Updated,Current Ver,Android Ver,Rating Roundoff
Truth or Dare Pro,DATING,nan,0,,50+,Paid,$1.49,,Dating,"September 1, 2017",1.0,4.0 and up,
"Private Dating, Hide App- Blue for PrivacyHider",DATING,nan,0,,100+,Paid,$2.99,,Dating,"July 25, 2017",1.0.1,4.0 and up,
Ad Blocker for SayHi,DATING,nan,4,,100+,Paid,$3.99,,Dating,"August 2, 2018",1.2,4.0.3 and up,
Arrhythmias and Dysrhythmias,MEDICAL,nan,3,,500+,Paid,$1.00,,Medical,"January 24, 2016",1.0,4.2 and up,
Advanced Comprehension Therapy,MEDICAL,nan,3,,100+,Paid,$24.99,,Medical,"October 5, 2017",1.2,4.0.3 and up,
Number Therapy,MEDICAL,nan,0,,50+,Paid,$14.99,,Medical,"October 3, 2017",1.0,4.0.3 and up,
Language Therapy: Aphasia,MEDICAL,nan,10,,"1,000+",Paid,$74.99,,Medical,"June 25, 2018",3.1.1,4.0.3 and up,
Advanced Comprehension Therapy,MEDICAL,nan,3,,100+,Paid,$24.99,,Medical,"October 5, 2017",1.2,4.0.3 and up,
Visualmed,MEDICAL,nan,0,,1+,Paid,$2.99,,Medical,"August 1, 2018",1.0,4.1 and up,
ABG Master,MEDICAL,nan,2,,50+,Paid,$0.99,,Medical,"August 4, 2018",1.1,4.1 and up,
OrthoFlow,MEDICAL,nan,0,,10+,Paid,$5.99,,Medical,"July 15, 2018",1.0.0,4.2 and up,
Be the Expert in Phlebotomy - Professional Nursing,MEDICAL,nan,0,,1+,Paid,$0.99,,Medical,"July 24, 2018",1.0,4.0.3 and up,
B-17 Flying Fortress WWII LWP,PERSONALIZATION,nan,7,,100+,Paid,$1.49,,Personalization,"December 22, 2016",1.0,4.1 and up,
CURSUM B,GAME,nan,30,,500+,Paid,$0.99,,Racing,"June 20, 2017",1.0.0,2.3 and up,
Norwegian For Kids & Babies F,FAMILY,nan,0,,5+,Paid,$39.99,,Education,"September 24, 2015",1.0,4.0 and up,
F-1 watchface by Delta,PERSONALIZATION,nan,0,,10+,Paid,$2.49,,Personalization,"August 23, 2017",Varies with device,Varies with device,
F Length Sim (no Ads),PHOTOGRAPHY,nan,0,,10+,Paid,$2.00,,Photography,"April 29, 2018",1.0,4.0.3 and up,
G-NetReport Pro,TOOLS,nan,0,,10+,Paid,$25.99,,Tools,"June 14, 2018",5.0,4.0 and up,
D+H Reaction Wall,GAME,nan,0,,1+,Paid,$0.99,,Arcade,"July 24, 2016",Varies with device,Varies with device,
J Alvarej Moji,COMMUNICATION,nan,2,,10+,Paid,$1.99,,Communication,"May 3, 2017",1.0,3.2 and up,
Obbligo o Verità? PRO,GAME,nan,4,,100+,Paid,$0.99,,Board,"April 26, 2018","1,01",3.0 and up,
Android P Home KLWP,PERSONALIZATION,nan,0,,5+,Paid,$1.49,,Personalization,"April 14, 2018",v2018.Apr.12.16,5.0 and up,
Pacify Exceed (Android P) - Theme for Xperia™,PERSONALIZATION,nan,5,,10+,Paid,$1.49,,Personalization,"July 2, 2018",1.2.A.Exceed.Paid,6.0 and up,
Pistachio Launcher for Android P 9.0,PERSONALIZATION,nan,0,,1+,Paid,$1.49,,Personalization,"July 11, 2018",1.0.2,4.1 and up,
Pacify (Android P theme) - Theme for Xperia™,PERSONALIZATION,nan,1,,10+,Paid,$0.99,,Personalization,"July 15, 2018",1.0.B+.Exceed.Paid,5.0 and up,
Popsicle Launcher for Android P 9.0 launcher,PERSONALIZATION,nan,0,,0+,Paid,$1.49,,Personalization,"July 11, 2018",1.1,4.2 and up,
Pureness Pacify (Android P) - Theme for Xperia™,PERSONALIZATION,nan,0,,1+,Paid,$1.49,,Personalization,"July 23, 2018",1.2.A.Exceed.Paid,6.0 and up,
P Icon Pack,FAMILY,nan,0,,10+,Paid,$0.99,,Entertainment,"July 16, 2018",1.0.6,4.0.3 and up,
FORD V SERIES CALC - NO LIMIT,AUTO_AND_VEHICLES,nan,2,,50+,Paid,$9.99,,Auto & Vehicles,"June 25, 2018",3.0.0,4.0 and up,
iLauncher OS 12 Pro - Phone X,PERSONALIZATION,nan,3,,50+,Paid,$2.99,,Personalization,"June 24, 2018",1.0.1,4.1 and up,
Cardio Z,MEDICAL,nan,24,,100+,Paid,$5.99,,Medical,"March 13, 2017",1.0.2.1,4.4 and up,
Z PIVOT,COMMUNICATION,nan,0,,10+,Paid,$19.99,,Communication,"July 11, 2018",1.3,4.2 and up,
